,Doctor's Name,speciality,link
59,"Connie Qian, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
60,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
61,"Douglas Freeman, LAc, MS",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
62,"Amy Woodstock, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
63,"Giovanna Silva, LAc, MSOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
64,"Dr. Yu Cheng Chen, PhD, DC, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
65,"Marina Doktorman, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
66,"Xue (Snow) Xia, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
67,"Dr. Aran Degenhardt, MD, CAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
68,"Jane Gibbons, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
69,"Li Ting Lin, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
70,"Russell Stram, PT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
71,"Lisa Sumption, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
72,"Dr. Stephen Coleman, MD, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
73,"April Nieves, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
74,"Amy Woodstock, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
75,"Anna Piva, LAc, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
76,"Dumisani Kambi-Shamba, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
77,"Jonathan Simon, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
78,"Marjorie (Margie) Navarro, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
79,"Xaoling Shang, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
80,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
81,"Jacqueline Fazzalari, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
82,"Marc Gian, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
83,"Dr. Oliver Grover, DC, LAc, MS",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
84,"Christopher Trahan, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
85,"Dr. Yi Yi Wu, LAc, PhD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
86,"Howard Tso, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
87,"Jeffrey Chen, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
88,"Darren Louie, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
89,"Dr. Aran Degenhardt, MD, CAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
90,"Boris Bernadsky, LAc, LMT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
91,"Xaoling Shang, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
92,"Aliona Kats, LAc, LMT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
93,"SongLinh Lu, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
94,"Zvi Goldberg, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
95,"Melissa Little, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
96,"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
97,"Andrea Vannelli, DAc, DiplAc, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
98,"Siras Ramos, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
99,"Annalisa Brown, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
100,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
101,"Natalie Francis, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
102,"Pamela Yap, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
103,"Brian Chang, DAc, DiplAc, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
104,"Dr. Sara Scrivano, DC, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
105,"Youngsoo Oh, PT",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
106,"Hyoung Gyo Kim, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
107,"Siraj Venjara, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
108,"Dr. Steven Moalemi, MD",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
109,"Hiroe Yamani, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
110,"Dr. Lev Kalika, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
111,"Dr. David Hong, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
112,"Dr. Steven Moalemi, MD",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
113,"Dr. Steven Moalemi, MD",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
114,"Dr. Kelly Bay, DC, CDN, CNS",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
115,"Keping Du, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
116,"Joelle Ludwig, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
117,"Joanne Hsieh, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
118,"Dr. Stephen Coleman, MD, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
119,"Brian Kelly, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
120,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
121,"Ok Jean Keh, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
122,"Dr. Jose Colon, MD",Pain Management Specialist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
123,"Siraj Venjara, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
124,"Joanne Hsieh, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
125,"Tzu-Ying Chiang, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
126,"Dr. Sally Mravcak, MD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
127,"Dr. Jennifer Zocca, MD",Pain Management Specialist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
128,"Kyung Yoo, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
129,"Tzu-Ying Chiang, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
130,"Chung-Ying (Fred) Tsai, PT, LAc, MPT, MSTOM, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
131,"Igor Vatelman, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
132,"Chung-Ying (Fred) Tsai, PT, LAc, MPT, MSTOM, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
133,"Dr. Jennifer Zocca, MD",Pain Management Specialist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
134,"Dr. Douglas Allen, DO",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
135,"Dr. Douglas Allen, DO",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
136,"Heather Trujillo, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
137,"Dr. David Satterfield, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
138,"Dr. Pamela Doshner, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
139,"Dr. Patrick Grady, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
140,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
141,"Tammy Huang, MSTOM, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
142,"Dr. Ari Lerner, MD",Pain Management Specialist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
143,"Qian Li, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
144,"Dr. Amir Mahajer, DO",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
145,"Ani Baran, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
146,"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
147,"Tom Rhee, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
148,"Dr. Amir Mahajer, DO",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
149,"Dr. Sukdeb Datta, MD",Pain Management Specialist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
150,"Dr. Victoria Szafranska, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
151,"Dr. Ryan Tichauer, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
152,"Dr. Alan Belsky, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
153,"Dr. Cariann Paul, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
154,"Dr. Anthony Conte, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
155,"Jungyup Song, DAOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
156,"Dr. Xavier Ferland Haroun, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
157,"Dr. Jong Ho Kim, PhD, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
158,"Flora Luyando, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
159,"Maya Kron, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
160,"Diem Truong, LAc, MSTOM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
161,"Dr. Pamela Doshner, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
162,"Dr. Ryan Tichauer, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
163,"Dr. Jamie Milchanowski, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
164,"Dr. Elijah Manfredi, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
165,"Dr. Ashley Narain, DC",Chiropractor,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
166,"Dr. Amir Mahajer, DO",Physiatrist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
167,"Kimberly Kulseng, LAc, MSTOM, DACM",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
168,"Ryan Whelan, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
169,"Heeock Lee, LAc",Acupuncturist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
170,"Dr. Jose Colon, MD",Pain Management Specialist,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302
